destination,rating,rank,description,tourist_attractions_count,best_time_to_go
1. New York City,4.8/5,1 out of 100  Places to visit in United States of America,"An iconic global centre that has inspired the world with its brilliant architecture, movies, and art. Also known as the Big Apple, New York is well-known for its magnificent skyscrapers, Broadway shows and beautiful landmarks, making it the perfect destination for travellers from all over.",275  Tourist attractions,Throughout the year
2. Las Vegas,4.0/5,2 out of 100  Places to visit in United States of America,"Las Vegas - a place that brings neon signboards, iconic hotels and the legendary casinos to our minds. For the ultimate, no-limits entertainment trip, there is hardly any place in the world that comes close to Vegas. The city's bright skyline, the super luxury hotels and resorts, the world-famous ca...",117  Tourist attractions,September to November (Autumn)
3. Los Angeles,3.6/5,3 out of 100  Places to visit in United States of America,"Los Angeles is the hub of all activities on the famous West Coast of the United States. It is the second-largest city in the country, and one of the US's prime tourist cities. Home to the world-famous Hollywood entertainment industry, Los Angeles has become a huge tourist destination. It is a great ...",234  Tourist attractions,September to November (Autumn)
4. San Francisco,4.0/5,4 out of 100  Places to visit in United States of America,"San Francisco is one of the most important cities on the West Coast and all of the United States. It has been a major tourist destination since the 1960s, thanks to its wide array of attractions, the iconic Golden Gate Bridge fantastic views of the San Francisco Bay and brilliant summer weather...",256  Tourist attractions,September to November (Autumn)
5. San Diego,5.0/5,5 out of 100  Places to visit in United States of America,"Home to serene white-sand beaches, San Diego is popularly called 'America's Finest City'. San Diego is the second-largest city in California, while it ranks no. 8 in the list of the largest cities in the United States. With incredible weather conditions throughout the year and over 60 beaches, the s...",282  Tourist attractions,"March to May, September to November"
6. Miami,4.6/5,6 out of 100  Places to visit in United States of America,Miami is a seaport city famous for its beaches and nightlife. This vibrant town is also referred to as the 'Cruise Capital of the World' with cruise ships from all over docking at Port Miami. Many large companies and corporate houses have its headquarters in Miami making&nbs...,153  Tourist attractions,March to May
7. Washington,4.5/5,7 out of 100  Places to visit in United States of America,"The Capital of United States, Washington, DC is a legatee of neoclassic beauty. A city which is not only famous for its museums and monuments, but also for the cultural style it embosses with its nightlife, performing art venues and trendy shops.",102  Tourist attractions,"September to November, March to May"
8. Yellowstone National Park,4.0/5,8 out of 100  Places to visit in United States of America,"Located across 3 states, the Yellowstone National Park is one of the most popular National Parks in North America and also the world. The UNESCO World Heritage Site is known mostly for it's several thousand geothermal features, stunning views and the vast array of flora and fauna which are found her...",9  Tourist attractions,September to November
9. Seattle,4.5/5,9 out of 100  Places to visit in United States of America,"Seattle is the largest city in both the state of Washington and the Pacific Northwest region of North America. The city has thousands of acres worth of green spaces and parks, making the city a perfect mix of a concrete jungle and beautiful greenery. Seattle is the third-largest port in North Americ...",208  Tourist attractions,September to November
10. Puerto Rico,4.6/5,10 out of 100  Places to visit in United States of America,"Puerto Rico is undoubtedly one of the most enchanting places with the beautiful Caribbean beaches, the amazing island landscapes, the underwater experiences, and the rich Caribbean culture. Though Puerto Rico is technically a territory of the United States, the atmosphere of the Caribbean is ab...",93  Tourist attractions,April to June
