"name","location","beds","rating","rating_title","number_of_ratings","price","price_for","image","url"
"Studio 6-Mccarran, NV - Sparks - Tahoe - Reno Industrial Center","Clark","1 king bed","7.7","Good","115 reviews","$235","2 nights , 2 adults","https://t-cf.bstatic.com/xdata/images/hotel/square200/163208700.webp?k=2e8554f4fd1daf8e3bbf0a899ebf921e573085433d42f3ae6a4a46f759127efd&o=&s=1","https://www.booking.com/hotel/us/studio-6-mccarran.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=2326&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=94b103657083017f&srepoch=1669681739&all_sr_blocks=327210002_205183545_2_0_0&highlighted_blocks=327210002_205183545_2_0_0&matching_block_id=327210002_205183545_2_0_0&sr_pri_blocks=327210002_205183545_2_0_0__23500&tpi_r=2&from=searchresults#hotelTmpl"
"Quality Inn & Suites near NAS Fallon","Fallon","2 queen beds","6.9","Review score","247 reviews","$163","2 nights , 2 adults","https://t-cf.bstatic.com/xdata/images/hotel/square200/334455113.webp?k=299ffef48fa59f5a7137f4ce0e4c0f84ca4083ae0dc2f2bd1c720985b938c67b&o=&s=1","https://www.booking.com/hotel/us/quality-inn-and-suites-fallon.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=2326&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=94b103657083017f&srepoch=1669681739&all_sr_blocks=31175512_0_2_0_0&highlighted_blocks=31175512_0_2_0_0&matching_block_id=31175512_0_2_0_0&sr_pri_blocks=31175512_0_2_0_0__16332&tpi_r=1&from=searchresults#hotelTmpl"
"Hampton Inn & Suites Wells, Nv","Wells","2 queen beds","9.0","Wonderful","Travel Sustainable property","$204","2 nights , 2 adults","https://t-cf.bstatic.com/xdata/images/hotel/square200/250471092.webp?k=fdaadd54bf3d5740f7b0eb779cb4ed4d6cd16601d11b0d2f954a8e5dbbbd1afc&o=&s=1","https://www.booking.com/hotel/us/hampton-inn-suites-wells-nv.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=2326&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=94b103657083017f&srepoch=1669681739&all_sr_blocks=636137311_249037497_4_1_0&highlighted_blocks=636137311_249037497_4_1_0&matching_block_id=636137311_249037497_4_1_0&sr_pri_blocks=636137311_249037497_4_1_0__20399&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl"
"Club Tahoe Resort","Incline Village","4 beds (2 twins, 2 queens)","8.9","Excellent","220 reviews","$404","2 nights , 2 adults","https://t-cf.bstatic.com/xdata/images/hotel/square200/30579821.webp?k=37b48bfd3b744f67f61fbdf86312476d28f70fb7b6e7fff114467f2999b07f33&o=&s=1","https://www.booking.com/hotel/us/club-tahoe-resort.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=2326&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=94b103657083017f&srepoch=1669681739&all_sr_blocks=105861201_92013495_0_0_0&highlighted_blocks=105861201_92013495_0_0_0&matching_block_id=105861201_92013495_0_0_0&sr_pri_blocks=105861201_92013495_0_0_0__40410&tpi_r=2&from=searchresults#hotelTmpl"
"Holiday Inn Club Vacations - David Walley's Resort, an IHG Hotel","Genoa","1 full bed","7.9","Good","199 reviews","$258","2 nights , 2 adults","https://t-cf.bstatic.com/xdata/images/hotel/square200/260955031.webp?k=5b1ab4c631c476ea28155c4de47141fd34f4d06d87715142f7b6c592e6cafd8c&o=&s=1","https://www.booking.com/hotel/us/david-walley-s-resort-hot-springs-amp-spa.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=2326&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=94b103657083017f&srepoch=1669681739&all_sr_blocks=48754022_298940263_2_0_0&highlighted_blocks=48754022_298940263_2_0_0&matching_block_id=48754022_298940263_2_0_0&sr_pri_blocks=48754022_298940263_2_0_0__25760&tpi_r=2&from=searchresults#hotelTmpl"
"Topaz Lodge","Gardnerville","2 queen beds","7.4","Good","487 reviews","$270","2 nights , 2 adults","https://t-cf.bstatic.com/xdata/images/hotel/square200/132463490.webp?k=209349950a0f86d7a25cca2d0cc57f6a124daadf4ee0b63c0f345762e7736c7a&o=&s=1","https://www.booking.com/hotel/us/gardnerville-1979-highway-395-south.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=2326&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=94b103657083017f&srepoch=1669681739&all_sr_blocks=33872407_353322630_4_0_0&highlighted_blocks=33872407_353322630_4_0_0&matching_block_id=33872407_353322630_4_0_0&sr_pri_blocks=33872407_353322630_4_0_0__27000&tpi_r=2&from=searchresults#hotelTmpl"
"Historian Inn","Gardnerville","1 king bed","8.0","Very Good","382 reviews","$220","2 nights , 2 adults","https://t-cf.bstatic.com/xdata/images/hotel/square200/159388693.webp?k=61cbc2ca29bce1826243335f61a2fe695dad1d4ec898d01d705fa3c93d988bfe&o=&s=1","https://www.booking.com/hotel/us/historian-inn.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=2326&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=94b103657083017f&srepoch=1669681739&all_sr_blocks=34597609_335206818_0_0_0&highlighted_blocks=34597609_335206818_0_0_0&matching_block_id=34597609_335206818_0_0_0&sr_pri_blocks=34597609_335206818_0_0_0__21960&tpi_r=2&from=searchresults#hotelTmpl"
"Comfort Inn & Suites Near Fallon Naval Air Station","Fallon","1 king bed","8.0","Very Good","231 reviews","$162","2 nights , 2 adults","https://t-cf.bstatic.com/xdata/images/hotel/square200/169889368.webp?k=f4f5ce73f6833f66e4b44ab04f5f25d1ccd7cb5c9b9555a8f04b8691a31052a9&o=&s=1","https://www.booking.com/hotel/us/hotel-w-williams-ave-fallon.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=2326&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=94b103657083017f&srepoch=1669681739&all_sr_blocks=49093110_0_2_1_0&highlighted_blocks=49093110_0_2_1_0&matching_block_id=49093110_0_2_1_0&sr_pri_blocks=49093110_0_2_1_0__16194&tpi_r=1&from=searchresults#hotelTmpl"
"Ellis Island Hotel Casino & Brewery","Las Vegas Strip, Las Vegas","1 king bed","7.9","Good","7,651 reviews","$188","2 nights , 2 adults","https://t-cf.bstatic.com/xdata/images/hotel/square200/214829881.webp?k=889ffa15da042a6209ffaaeaf81b210cd74fbe713c24a90f2b913799de18be09&o=&s=1","https://www.booking.com/hotel/us/super-8-motel-ellis-island-casino.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=2326&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=94b103657083017f&srepoch=1669681739&all_sr_blocks=5673209_179941229_2_0_0&highlighted_blocks=5673209_179941229_2_0_0&matching_block_id=5673209_179941229_2_0_0&sr_pri_blocks=5673209_179941229_2_0_0__18800&tpi_r=2&from=searchresults#hotelTmpl"
"Carson City Plaza Hotel","Carson City","2 queen beds","7.6","Good","881 reviews","$218","2 nights , 2 adults","https://t-cf.bstatic.com/xdata/images/hotel/square200/119633197.webp?k=c13c9ce62c101668ee9f989ac27b3539772aec4d90372751d08a732eb9fe8c81&o=&s=1","https://www.booking.com/hotel/us/carsoncityplaza.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=2326&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=94b103657083017f&srepoch=1669681739&all_sr_blocks=5599301_218965846_2_1_0&highlighted_blocks=5599301_218965846_2_1_0&matching_block_id=5599301_218965846_2_1_0&sr_pri_blocks=5599301_218965846_2_1_0__21800&tpi_r=2&from=searchresults#hotelTmpl"
