,Name,Street Address,Type,Reviews,No of Reviews,Comments,Contact Number,Trip_advisor Url,Menu,City,State
0,135 Prime,1201 Hewitt Dr," American, Steakhouse, Seafood",4.5,200,"GPS could not get us properly vectored.  When we finally arrived,  we found the decor attractive and upscale.  Service was generally attentive.  Used plates stayed on the table a bit too long.  We had the chateaubriand.  It can serve 3 people.  Cooked perfectly and carved...More",+1 254-666-3100,https://www.tripadvisor.com//Restaurant_Review-g56833-d674393-Reviews-135_Prime-Waco_Texas.html,Check The Website for a Menu,Waco, TX
1,144 Restaurant and Lounge,14402 135th Ave," American, Bar, Vegetarian Friendly",4.0,241,"On our way to Italy and staying at the Hilton JFK 
And decided to eat at 144 restaurant in the hotel and had a great server Vaan Davis that made the whole experience great and to top it off we enjoyed food which was great.....More",+1 718-659-0200,https://www.tripadvisor.com//Restaurant_Review-g47962-d4472591-Reviews-144_Restaurant_and_Lounge-Jamaica_Queens_New_York.html,Check The Website for a Menu,Jamaica, NY
2,15 Church Restaurant,15 Church St," American, Vegetarian Friendly, Vegan Options",4.5,821,"My husband and I absolutely love the food, the atmosphere and the staff! The food is hands down the BEST that we have ever had! We highly recommend.",+1 518-587-1515,https://www.tripadvisor.com//Restaurant_Review-g48562-d6541699-Reviews-15_Church_Restaurant-Saratoga_Springs_New_York.html,https://www.15churchrestaurant.com/saratoga-springs/dinner-menu/,Saratoga Springs, NY
3,18 Oaks,23808 Resort Parkway," American, Steakhouse, Gluten Free Options",4.5,350,"This was my 3rd time here for brunch and I will always recommend. Amazing food, great customer service and I had the pleasure of Jacob M being our server he made our dining experience outstanding. Highly recommend",+1 210-491-5825,https://www.tripadvisor.com//Restaurant_Review-g60956-d1987818-Reviews-18_Oaks-San_Antonio_Texas.html,Check The Website for a Menu,San Antonio, TX
4,1848 BBQ,5 Avalon Dr," American, Barbecue",4.5,13,"Their sliced brisket sandwich was amazing!! Little place, but the level of smoke and tenderness was good.",+1 956-504-1848,https://www.tripadvisor.com//Restaurant_Review-g60928-d12961687-Reviews-1848_BBQ-Brownsville_Texas.html,Check The Website for a Menu,Brownsville, TX
5,20 North Broadway Tavern,20 N Broadway," American, Bar, Pub",4.5,47,"A local dive bar with a pretty good line up of draft beers and wine, but heck.... you're going there for the wings!!  Do give it a try for your next wing binge!!",+1 518-357-8992,https://www.tripadvisor.com//Restaurant_Review-g48572-d4914194-Reviews-20_North_Broadway_Tavern-Schenectady_New_York.html,Check The Website for a Menu,Schenectady, NY
6,24th Street Cafe,1415 24th St," American, Cafe, Diner",4.5,570,No comments,+1 661-323-8801,https://www.tripadvisor.com//Restaurant_Review-g32037-d574962-Reviews-24th_Street_Cafe-Bakersfield_California.html,Check The Website for a Menu,Bakersfield, CA
7,25 Degrees,412 Walnut Ave," American, Bar, Pub",4.5,126,No comments,+1 714-960-2525,https://www.tripadvisor.com//Restaurant_Review-g32513-d1582767-Reviews-25_Degrees-Huntington_Beach_California.html,Check The Website for a Menu,Huntington Beach, CA
8,3 Lions Pub,8115 161st Ave NE," British, Bar, Pub",4.0,40,"Right after the 4th of July parade we needed lunch and were surprised how nice this place was. Nice ambience, too! I ordered mussels, and after telling the server that 8 of them didn't open, they brought me another serving with at least 10 more....More",+1 425-284-3399,https://www.tripadvisor.com//Restaurant_Review-g58702-d946120-Reviews-3_Lions_Pub-Redmond_Washington.html,Check The Website for a Menu,Redmond, WA
9,30 Lake,30 Lake Avenue," American, Seafood, Vegetarian Friendly",4.5,182,"This is one of the restaurants high on our list when we moved to the area in 2018, but hadn’t gotten there until tonight.  I read a recent pretty favorable review in the Times Union so the multiple changes in ownership and chef didn’t phase...More",+1 518-539-3474,https://www.tripadvisor.com//Restaurant_Review-g48562-d10475548-Reviews-30_Lake-Saratoga_Springs_New_York.html,Check The Website for a Menu,Saratoga Springs, NY
