"name","rating","reviews_count","description","image","city"
"Museum of Fine Arts, Boston","4.8","(14,031)","Impressionist art & Egyptian treasures","","Boston"
"Faneuil Hall","4.5","(38,402)","Historic indoor-outdoor shopping center","","Boston"
"Fenway Park","4.8","(33,190)","Legendary home of the Red Sox","","Boston"
"Isabella Stewart Gardner Museum","4.7","(6,741)","Art treasures in a Venetian-style palace","","Boston"
"Museum of Science","4.7","(17,512)","Interactive exhibits & an IMAX theater","","Boston"
"Boston Common","4.7","(30,514)","Venerable park with historic cred","","Boston"
"New England Aquarium","4.4","(19,401)","Giant ocean tank with over 2,000 animals","","Boston"
"Boston Tea Party Ships & Museum","4.6","(5,866)","Floating museum with live reenactments","","Boston"
"Public Garden","4.8","(15,379)","Tranquil 19th-century urban park","","Boston"
"Quincy Market","4.5","(7,290)","Iconic, warehouse-like food hall","","Boston"
"Arnold Arboretum of Harvard University","4.8","(3,563)","Free outdoor tree & plant museum","","Boston"
"Old North Church","4.6","(998)","Launch point for Paul Revere's ride","","Boston"
"John F. Kennedy Presidential Library and Museum","4.7","(548)","Political-history exhibits & artifacts","","Boston"
"Old State House","4.6","(1,479)","Original colonial seat & state capitol","","Boston"
"Freedom Trail","","","Route with historic sites & museums","","Boston"
"Boston Children's Museum","4.7","(4,879)","Hands-on exhibits & play spaces","","Boston"
"USS Constitution Museum","4.7","(6,288)","Exhibits about the circa-1797 warship","","Boston"
"The Paul Revere House","4.4","(3,292)","Revolutionary War hero's famed residence","","Boston"
"Christopher Columbus Waterfront Park","4.6","(3,300)","Sprawling urban hangout with water views","","Boston"
"Charles River Esplanade","4.8","(3,449)","Riverside park with a path & city views","","Boston"
"Franklin Park Zoo","4.4","(6,676)","Gardens, a zoo & an arboretum","","Boston"
"Samuel Adams Boston Brewery","4.7","(1,805)","","","Boston"
"Castle Island","4.7","(5,032)","Recreational area with historic fort","","Boston"
"North End","","","Little Italy & Old North Church","","Boston"
"Boston Public Library - Central Library","4.8","(1,824)","Monumental library with Sargent murals","","Boston"
"Skywalk Observatory","4.5","(3,339)","Views of Boston from the 50th floor","","Boston"
"Granary Burying Ground","4.6","(347)","Historic cemetery on the Freedom Trail","","Boston"
"Massachusetts State House","4.4","(323)","Federal-era home of state legislature","","Boston"
"Trinity Church","4.6","(1,207)","Soaring 19th-century Episcopal parish","","Boston"
"Newbury Street","4.8","(108)","Upscale shopping & dining street","","Boston"
"Rose Fitzgerald Kennedy Greenway - Chinatown Park","4.2","(57)","Paved square & a traditional gateway","","Boston"
"Old South Meeting House","4.6","(540)","Historic site of the Boston Tea Party","","Boston"
"Beacon Hill","","","Quaint brick row houses & Boston Common","","Boston"
"TD Garden","4.6","(16,755)","Home arena of the Celtics & Bruins","","Boston"
"The Mary Baker Eddy Library","4.4","(229)","Christian Science library & globe room","","Boston"
"Bunker Hill Monument","4.6","(5,392)","Granite obelisk on the Freedom Trail","","Boston"
"Black Heritage Trail","4.4","(46)","African-American history walking tour","","Boston"
"Institute of Contemporary Art","4.4","(3,280)","Striking waterfront modern art museum","","Boston"
"Symphony Hall","4.8","(2,577)","","","Boston"
"The New England Holocaust Memorial","4.8","(823)","","","Boston"
"Boston Athenaeum","4.3","(80)","Grand 19th-century library & art museum","","Boston"
"Boston Public Market","4.6","(4,892)","Huge market for local & gourmet foods","","Boston"
"Swan Boats","4.7","(586)","Garden and park","","Boston"
"Harvard Square","4.5","(8,142)","Historic gathering place since 1630","","Boston"
"Boston Harbor Islands National & State Park","4.7","(1,431)","Park with plenty of history & activities","","Boston"
"MIT Museum","4.3","(2,491)","Exhibits on science & technology","","Boston"
"Bunker Hill","4.7","(63)","Park & tower commemorating famous battle","","Boston"
"Kings Chapel Burying Ground","4.6","(219)","Historic landmark with notable graves","","Boston"
"Gibson House Museum","4.5","(73)","Posh Victorian home with tours & events","","Boston"
"The Lawn On D","4.4","(2,187)","Park with live music & lawn games","","Boston"
"The Harvard Museum of Natural History","4.7","(3,418)","Glass flowers, zoology & minerals","","Boston"
"Charlestown Navy Yard","4.6","(57)","30-acre park that once housed the Navy","","Boston"
"Park Street Church","4.6","(351)","Storied 19th-century venue","","Boston"
"Citizens Bank Opera House","4.8","(3,643)","","","Boston"
"Harvard Yard","4.7","(3,827)","Grassy center of the university campus","","Boston"
"Museum of African American History","4.4","(291)","Historic exhibits in an 1834 schoolhouse","","Boston"
"Boston National Historical Park","4.7","(9,815)","Educational programs & guided tours","","Boston"
"John Hancock Tower","","","Minimalist glass skyscraper with offices","","Boston"
"Fort Independence","4.6","(873)","Coastal stronghold & Civil War armory","","Boston"
"Franklin Park","4.5","(5,224)","Sizable urban getaway with a zoo & more","","Boston"
"Boston Duck Tours Prudential Center Departure Location","4.5","(1,303)","","","Boston"
"Massachusetts Institute of Technology","4.7","(3,606)","","","Boston"
"Copps Hill Burying Ground","4.4","(130)","","","Boston"
"Christian Science Plaza","4.5","(235)","Square with fountains & reflecting pool","","Boston"
"Brattle Book Shop","4.7","(1,003)","","","Boston"
"Copley Place","4.4","(3,652)","Airy, 2-level mall with luxury retailers","","Boston"
"Old Town Trolley Tours of Boston","4.4","(954)","","","Boston"
"Back Bay","","","Luxe shops, posh cafes & Copley Square","","Boston"
"Forest Hills Cemetery","4.7","(53)","Burial ground with chapels & monuments","","Boston"
"Back Bay Fens","4.5","(888)","Urban park with gardens & play areas","","Boston"
"Otis House Museum","4.5","(59)","1796 Federal-style mansion with tours","","Boston"
"Boston Massacre Site","4.6","(1,328)","Pavement marker for the 1770 event","","Boston"
"Ghosts & Gravestones Tour Boston","4.4","(481)","","","Boston"
"Louisburg Square","4.5","(100)","Private park in an elegant neighborhood","","Boston"
"Boston Harbor","4.6","(240)","Harbor, lighthouse, and fishing","","Boston"
"Harvard Art Museums","4.7","(1,512)","Diverse European & American works","","Boston"
"Chinatown","","","Asian eateries, markets & Chinatown Park","","Boston"
"African Meeting House","5.0","(5)","Museum, history, church, historic site, and architecture","","Boston"
"Larz Anderson Auto Museum","4.7","(705)","Antique car & vintage bicycle collection","","Boston"
"Boston Ghosts","4.8","(201)","","","Boston"
"Boston Tours by Old Town Trolley","4.3","(191)","","","Boston"
"King's Chapel","4.6","(417)","Historic church with daily crypt tours","","Boston"
"Spectacle Island","4.6","(74)","Island with beaches & visitor center","","Boston"
"Metropolitan Waterworks Museum","4.7","(346)","Exhibits on 1st U.S. city water system","","Boston"
"Old South Church in Boston","4.6","(343)","Gothic church with music services","","Boston"
"Waterfront","","","Boston Harbor & New England Aquarium","","Boston"
"Leonard P. Zakim Bunker Hill Memorial Bridge","4.7","(288)","Landmark bridge with cable towers","","Boston"
"Piers Park","4.8","(408)","Park","","Boston"
"The Hahvahd Tour","4.7","(165)","","","Boston"
"John Fitzgerald Kennedy National Historic Site","4.6","(314)","Birthplace & home of JFK with tours","","Boston"
"Robert Gould Shaw and the 54th Regiment Memorial","4.6","(145)","Commemorative bronze Civil War monument","","Boston"
"Adams National Historical Park","4.6","(336)","Former compound of a historic family","","Boston"
"Longfellow House-Washington's Headquarters National Historic Site","4.7","(265)","Historic poet's home & war headquarters","","Boston"
"Emerald Necklace","4.5","(8)","Chain of parks linked by walkways","","Boston"
"Paul Revere Mall","","","","","Boston"
"Old Corner Book Store","3.5","(54)","Historic building built in bricks","","Boston"
"Massachusetts Historical Society","5.0","(10)","Library of rare early-American documents","","Boston"
"Peabody Museum of Archaeology and Ethnology","4.6","(509)","Anthropological collections at Harvard","","Boston"
"Nichols House Museum","4.6","(49)","Historic Victorian home turned museum","","Boston"
"Copley Square","4.7","(100)","Scenic public square in Back Bay","","Boston"
"San Diego Zoo","4.7","(47,825)","Zoo, safari park & wildlife conservation","","San Diego"
"Balboa Park","4.8","(65,503)","Multi-attraction park covers 1,200 acres","","San Diego"
"USS Midway Museum","4.8","(38,867)","Historic aircraft carrier with exhibits","","San Diego"
"Seaport Village","4.6","(23,977)","Waterfront shopping, dining & walking","","San Diego"
"Cabrillo National Monument","4.8","(10,189)","Historic lighthouse with expansive views","","San Diego"
"Torrey Pines State Reserve","4.8","(13,004)","Trails, beaches, lagoons & wildlife","","San Diego"
"SeaWorld San Diego","4.4","(41,195)","Aquatic theme park with shows & rides","","San Diego"
