,name,rating,reviews_count,description,city
0,"Museum of Fine Arts, Boston",4.8,14031,Impressionist art & Egyptian treasures,Boston
1,Faneuil Hall,4.5,38402,Historic indoor-outdoor shopping center,Boston
2,Fenway Park,4.8,33190,Legendary home of the Red Sox,Boston
3,Isabella Stewart Gardner Museum,4.7,6741,Art treasures in a Venetian-style palace,Boston
4,Museum of Science,4.7,17512,Interactive exhibits & an IMAX theater,Boston
5,Boston Common,4.7,30514,Venerable park with historic cred,Boston
6,New England Aquarium,4.4,19401,"Giant ocean tank with over 2,000 animals",Boston
7,Boston Tea Party Ships & Museum,4.6,5866,Floating museum with live reenactments,Boston
8,Public Garden,4.8,15379,Tranquil 19th-century urban park,Boston
9,Quincy Market,4.5,7290,"Iconic, warehouse-like food hall",Boston
10,Arnold Arboretum of Harvard University,4.8,3563,Free outdoor tree & plant museum,Boston
11,Old North Church,4.6,998,Launch point for Paul Revere's ride,Boston
12,John F. Kennedy Presidential Library and Museum,4.7,548,Political-history exhibits & artifacts,Boston
13,Old State House,4.6,1479,Original colonial seat & state capitol,Boston
14,Freedom Trail,0.0,0,Route with historic sites & museums,Boston
15,Boston Children's Museum,4.7,4879,Hands-on exhibits & play spaces,Boston
16,USS Constitution Museum,4.7,6288,Exhibits about the circa-1797 warship,Boston
17,The Paul Revere House,4.4,3292,Revolutionary War hero's famed residence,Boston
18,Christopher Columbus Waterfront Park,4.6,3300,Sprawling urban hangout with water views,Boston
19,Charles River Esplanade,4.8,3449,Riverside park with a path & city views,Boston
20,Franklin Park Zoo,4.4,6676,"Gardens, a zoo & an arboretum",Boston
21,Samuel Adams Boston Brewery,4.7,1805,nan,Boston
22,Castle Island,4.7,5032,Recreational area with historic fort,Boston
23,North End,0.0,0,Little Italy & Old North Church,Boston
24,Boston Public Library - Central Library,4.8,1824,Monumental library with Sargent murals,Boston
25,Skywalk Observatory,4.5,3339,Views of Boston from the 50th floor,Boston
26,Granary Burying Ground,4.6,347,Historic cemetery on the Freedom Trail,Boston
27,Massachusetts State House,4.4,323,Federal-era home of state legislature,Boston
28,Trinity Church,4.6,1207,Soaring 19th-century Episcopal parish,Boston
29,Newbury Street,4.8,108,Upscale shopping & dining street,Boston
30,Rose Fitzgerald Kennedy Greenway - Chinatown Park,4.2,57,Paved square & a traditional gateway,Boston
31,Old South Meeting House,4.6,540,Historic site of the Boston Tea Party,Boston
32,Beacon Hill,0.0,0,Quaint brick row houses & Boston Common,Boston
33,TD Garden,4.6,16755,Home arena of the Celtics & Bruins,Boston
34,The Mary Baker Eddy Library,4.4,229,Christian Science library & globe room,Boston
35,Bunker Hill Monument,4.6,5392,Granite obelisk on the Freedom Trail,Boston
36,Black Heritage Trail,4.4,46,African-American history walking tour,Boston
37,Institute of Contemporary Art,4.4,3280,Striking waterfront modern art museum,Boston
38,Symphony Hall,4.8,2577,nan,Boston
39,The New England Holocaust Memorial,4.8,823,nan,Boston
40,Boston Athenaeum,4.3,80,Grand 19th-century library & art museum,Boston
41,Boston Public Market,4.6,4892,Huge market for local & gourmet foods,Boston
42,Swan Boats,4.7,586,Garden and park,Boston
43,Harvard Square,4.5,8142,Historic gathering place since 1630,Boston
44,Boston Harbor Islands National & State Park,4.7,1431,Park with plenty of history & activities,Boston
45,MIT Museum,4.3,2491,Exhibits on science & technology,Boston
46,Bunker Hill,4.7,63,Park & tower commemorating famous battle,Boston
47,Kings Chapel Burying Ground,4.6,219,Historic landmark with notable graves,Boston
48,Gibson House Museum,4.5,73,Posh Victorian home with tours & events,Boston
49,The Lawn On D,4.4,2187,Park with live music & lawn games,Boston
50,The Harvard Museum of Natural History,4.7,3418,"Glass flowers, zoology & minerals",Boston
51,Charlestown Navy Yard,4.6,57,30-acre park that once housed the Navy,Boston
52,Park Street Church,4.6,351,Storied 19th-century venue,Boston
53,Citizens Bank Opera House,4.8,3643,nan,Boston
54,Harvard Yard,4.7,3827,Grassy center of the university campus,Boston
55,Museum of African American History,4.4,291,Historic exhibits in an 1834 schoolhouse,Boston
56,Boston National Historical Park,4.7,9815,Educational programs & guided tours,Boston
57,John Hancock Tower,0.0,0,Minimalist glass skyscraper with offices,Boston
58,Fort Independence,4.6,873,Coastal stronghold & Civil War armory,Boston
59,Franklin Park,4.5,5224,Sizable urban getaway with a zoo & more,Boston
60,Boston Duck Tours Prudential Center Departure Location,4.5,1303,nan,Boston
61,Massachusetts Institute of Technology,4.7,3606,nan,Boston
62,Copps Hill Burying Ground,4.4,130,nan,Boston
63,Christian Science Plaza,4.5,235,Square with fountains & reflecting pool,Boston
64,Brattle Book Shop,4.7,1003,nan,Boston
65,Copley Place,4.4,3652,"Airy, 2-level mall with luxury retailers",Boston
66,Old Town Trolley Tours of Boston,4.4,954,nan,Boston
67,Back Bay,0.0,0,"Luxe shops, posh cafes & Copley Square",Boston
68,Forest Hills Cemetery,4.7,53,Burial ground with chapels & monuments,Boston
69,Back Bay Fens,4.5,888,Urban park with gardens & play areas,Boston
70,Otis House Museum,4.5,59,1796 Federal-style mansion with tours,Boston
71,Boston Massacre Site,4.6,1328,Pavement marker for the 1770 event,Boston
72,Ghosts & Gravestones Tour Boston,4.4,481,nan,Boston
73,Louisburg Square,4.5,100,Private park in an elegant neighborhood,Boston
74,Boston Harbor,4.6,240,"Harbor, lighthouse, and fishing",Boston
